"year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
1990,8,8.8,9.3,9.4,14.8,14.8,18.6,19.3,15,13.2,8.2,5.5
1991,4.9,5.3,9.3,9.1,12.5,13.2,17.9,18.4,16.4,11.4,8,5.8
1992,4.7,6.6,8.5,9.7,14.9,17.3,17.7,16.4,14.6,9.3,9.1,5.2
1993,7.4,6,7.8,10.4,12.7,16.5,16.4,16.2,13.8,9.6,6.5,7
1994,6.7,5.2,8.8,9.1,12,15.4,19.1,16.8,12.8,9.8,9.9,6.5
1995,5.4,6.9,6.1,10.4,13.8,16.5,20.5,21.3,14.3,13.6,7.8,2.3
1996,4.5,3.1,6,10.1,11,17.4,19.2,18.5,14.8,12,6.7,3.7
1997,3,7.3,9.5,10.8,13.8,16.6,19.3,20.8,16.2,11.4,9.3,6.7
1998,5.7,8.2,9.8,9.6,15.9,16.6,17.7,18.1,15.6,11.1,7.2,6.6
1999,7,6.2,8.5,10.8,14.2,15.7,19.5,18.2,16.9,11.7,8.4,5.7
2000,5.3,7.4,8.6,9.4,13.5,17.2,17.9,18.5,15.7,11.3,7.6,6.6
2001,4.2,5.8,6.3,9.2,14.1,16.5,18.9,18.1,15.1,14.3,8.2,4.3
2002,6.5,7.6,9.1,10.8,13,15.6,17.5,18.6,16,11.4,9.6,6.6
2003,5.1,5.3,9.5,11.6,13.6,17.8,19,20.5,15.3,10.1,8.7,5.8
2004,6.1,6.2,7.4,10.8,14.5,17.7,17.6,19.3,15.3,11.7,8.5,6.1
2005,6.7,5,8.2,11.2,13.3,17,18.5,17.9,16.8,14.3,7,5.6
2006,5.1,4.4,6.3,10,13.5,18,21.2,17.7,17.7,14.1,9,7.5
2007,8.1,4.4,6.3,13.4,13.4,16.8,16.3,17.2,15.4,12.1,8.5,6
2008,7.7,6.5,7.5,9.4,14.9,16,17.6,17.1,14.6,11,8.2,4.5
2009,3.8,4.9,8.1,11.2,13.3,17.2,17.6,17.7,15.4,12.8,9.5,4
2010,2.2,4.4,7.4,10.7,13,17.3,18.6,16.9,15.3,11.6,6.5,0.2
2011,4.8,7.8,8.6,13.7,13.7,15.3,16.9,16.7,16.3,14,10.9,7.4
2012,6.9,5.3,9.8,8.9,13.8,15.3,17,18.1,14.7,11.1,7.6,6.5
2013,5.1,4.4,4.4,8.9,12.2,15.8,20.9,18.6,15.8,13.8,7.5,7.5
2014,6.8,7.2,8.7,11.8,13.9,18,20,16.4,17.5,13.8,9.5,6.5
2015,6.2,5.3,8.1,11.9,12.7,16,17.3,17.2,14.4,12.2,10.8,11.1
2016,6.7,6.1,6.8,9.4,14.4,16.9,18.7,18.3,17.1,11.8,7.2,7.1
2017,5.5,7.3,9.8,11.1,14.9,17.7,18.4,17.3,15,13.7,8.2,6.5
2018,6.7,4.4,6.1,11.3,14.9,18.4,21.1,18,15.3,11.7,9.1,8.5
